sub_indicator,iso,2014
q6,TT,2
q7,TT,2
q8,TT,2
q9,TT,2
q10,TT,0
q11,TT,1
q12,TT,2
q1,UY,1
q2,UY,2
q3,UY,2
q4,UY,0
q5,UY,1
q6,UY,2
q7,UY,0
q8,UY,1
q9,UY,2
q10,UY,0
q11,UY,1
q12,UY,1
q1,VE,2
q2,VE,2
q3,VE,2
q4,VE,2
q5,VE,2
q6,VE,2
q7,VE,2
q8,VE,2
q9,VE,2
q10,VE,2
q11,VE,1
q12,VE,4
