iso,chain,sub_chain,2015
ZW,Biofuels,Biofuels - Producers,1
AR,Biomass,Biomass & Waste - Engineering,1
BS,Biomass,Biomass & Waste - Engineering,0
BD,Biomass,Biomass & Waste - Engineering,0
BB,Biomass,Biomass & Waste - Engineering,0
BZ,Biomass,Biomass & Waste - Engineering,0
BO,Biomass,Biomass & Waste - Engineering,0
BW,Biomass,Biomass & Waste - Engineering,0
BR,Biomass,Biomass & Waste - Engineering,1
CM,Biomass,Biomass & Waste - Engineering,0
CL,Biomass,Biomass & Waste - Engineering,0
CN,Biomass,Biomass & Waste - Engineering,1
CO,Biomass,Biomass & Waste - Engineering,0
CD,Biomass,Biomass & Waste - Engineering,0
CR,Biomass,Biomass & Waste - Engineering,1
CI,Biomass,Biomass & Waste - Engineering,1
DO,Biomass,Biomass & Waste - Engineering,0
EC,Biomass,Biomass & Waste - Engineering,0
EG,Biomass,Biomass & Waste - Engineering,0
SV,Biomass,Biomass & Waste - Engineering,0
ET,Biomass,Biomass & Waste - Engineering,0
GH,Biomass,Biomass & Waste - Engineering,0
GT,Biomass,Biomass & Waste - Engineering,0
GY,Biomass,Biomass & Waste - Engineering,0
HT,Biomass,Biomass & Waste - Engineering,0
HN,Biomass,Biomass & Waste - Engineering,1
IN,Biomass,Biomass & Waste - Engineering,1
IN-AP,Biomass,Biomass & Waste - Engineering,1
IN-BR,Biomass,Biomass & Waste - Engineering,1
IN-MP,Biomass,Biomass & Waste - Engineering,1
IN-OR,Biomass,Biomass & Waste - Engineering,1
IN-UP,Biomass,Biomass & Waste - Engineering,1
IN-WB,Biomass,Biomass & Waste - Engineering,1
ID,Biomass,Biomass & Waste - Engineering,1
JM,Biomass,Biomass & Waste - Engineering,1
JO,Biomass,Biomass & Waste - Engineering,0
KE,Biomass,Biomass & Waste - Engineering,1
LB,Biomass,Biomass & Waste - Engineering,0
LR,Biomass,Biomass & Waste - Engineering,0
MW,Biomass,Biomass & Waste - Engineering,0
MX,Biomass,Biomass & Waste - Engineering,1
MZ,Biomass,Biomass & Waste - Engineering,0
MM,Biomass,Biomass & Waste - Engineering,0
NP,Biomass,Biomass & Waste - Engineering,0
NI,Biomass,Biomass & Waste - Engineering,0
NG,Biomass,Biomass & Waste - Engineering,0
PK,Biomass,Biomass & Waste - Engineering,1
PA,Biomass,Biomass & Waste - Engineering,0
PY,Biomass,Biomass & Waste - Engineering,0
PE,Biomass,Biomass & Waste - Engineering,1
RW,Biomass,Biomass & Waste - Engineering,1
SN,Biomass,Biomass & Waste - Engineering,1
SL,Biomass,Biomass & Waste - Engineering,1
ZA,Biomass,Biomass & Waste - Engineering,1
LK,Biomass,Biomass & Waste - Engineering,1
SR,Biomass,Biomass & Waste - Engineering,0
TJ,Biomass,Biomass & Waste - Engineering,0
TZ,Biomass,Biomass & Waste - Engineering,0
TT,Biomass,Biomass & Waste - Engineering,0
UG,Biomass,Biomass & Waste - Engineering,1
UY,Biomass,Biomass & Waste - Engineering,0
VE,Biomass,Biomass & Waste - Engineering,0
VN,Biomass,Biomass & Waste - Engineering,1
ZM,Biomass,Biomass & Waste - Engineering,0
ZW,Biomass,Biomass & Waste - Engineering,0
AR,Biomass,Biomass & Waste - Equipment Manufacturing,1
BS,Biomass,Biomass & Waste - Equipment Manufacturing,0
BD,Biomass,Biomass & Waste - Equipment Manufacturing,0
BB,Biomass,Biomass & Waste - Equipment Manufacturing,0
