iso,sub_indicator,2014
SN,diesel,1.48
SN,kerosene,1.09
SL,spot_electricity,
SL,retail_electricity,280
SL,residential_electricity,
SL,commercial_electricity,
SL,industrial_electricity,
SL,diesel,0.85
SL,kerosene,0.85
ZA,spot_electricity,
ZA,retail_electricity,69.7
ZA,residential_electricity,85.18
ZA,commercial_electricity,76.19
ZA,industrial_electricity,47.73
ZA,diesel,1.15
ZA,kerosene,0.86
LK,spot_electricity,
LK,retail_electricity,126.4
LK,residential_electricity,42.6
LK,commercial_electricity,137
LK,industrial_electricity,200
LK,diesel,1.33
LK,kerosene,0.61
SR,spot_electricity,
SR,retail_electricity,44.14
SR,residential_electricity,36.5
SR,commercial_electricity,50.72
SR,industrial_electricity,45.2
SR,diesel,
SR,kerosene,
TJ,spot_electricity,
TJ,retail_electricity,38
TJ,residential_electricity,38
TJ,commercial_electricity,23
TJ,industrial_electricity,36
TJ,diesel,1.12
TJ,kerosene,1.61
TZ,spot_electricity,
TZ,retail_electricity,164.67
TZ,residential_electricity,224.37
TZ,commercial_electricity,150.31
TZ,industrial_electricity,119.51
TZ,diesel,1.25
TZ,kerosene,1.22
TT,spot_electricity,
TT,retail_electricity,56
TT,residential_electricity,51
TT,commercial_electricity,67
TT,industrial_electricity,50
TT,diesel,
TT,kerosene,
UG,spot_electricity,
UG,retail_electricity,176
UG,residential_electricity,200
UG,commercial_electricity,182
UG,industrial_electricity,146
UG,diesel,1.19
UG,kerosene,1.08
UY,spot_electricity,75
UY,retail_electricity,223
UY,residential_electricity,248.8
UY,commercial_electricity,250.9
UY,industrial_electricity,169.4
UY,diesel,
UY,kerosene,
VE,spot_electricity,
VE,retail_electricity,20.21
VE,residential_electricity,19.32
VE,commercial_electricity,19.78
VE,industrial_electricity,21.54
VE,diesel,
VE,kerosene,
VN,spot_electricity,
VN,retail_electricity,71.65
VN,residential_electricity,76.44
VN,commercial_electricity,108.51
VN,industrial_electricity,64.87
VN,diesel,
VN,kerosene,
ZM,spot_electricity,
ZM,retail_electricity,46.42
ZM,residential_electricity,52.75
ZM,commercial_electricity,63.53
ZM,industrial_electricity,22.96
ZM,diesel,1.62
ZM,kerosene,1.21
ZW,spot_electricity,
ZW,retail_electricity,99.62
ZW,residential_electricity,104.03
ZW,commercial_electricity,106.45
ZW,industrial_electricity,88.38
ZW,diesel,1.39
ZW,kerosene,1.27
